Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786984203,2,,Aggregated,0.400000,0.000000,10,13,14,14,110,720,720,720,720,720,720,20,0,10,52.03160999517422,6.574300001375377,721.0938000353053,40.15
1786984204,2,,Aggregated,0.500000,0.000000,10,13,14,14,28,110,720,720,720,720,720,21,0,10,50.467047615841565,6.574300001375377,721.0938000353053,38.333333333333336
1786984205,2,,Aggregated,0.500000,0.000000,10,13,14,14,28,110,720,720,720,720,720,21,0,10,50.467047615841565,6.574300001375377,721.0938000353053,38.333333333333336
1786984206,2,,Aggregated,0.500000,0.000000,10,13,14,14,28,110,720,720,720,720,720,21,0,10,50.467047615841565,6.574300001375377,721.0938000353053,38.333333333333336
1786984207,2,,Aggregated,0.600000,0.000000,10,13,14,14,28,110,720,720,720,720,720,22,0,10,48.49828181481412,6.574300001375377,721.0938000353053,36.68181818181818
1786984208,2,,Aggregated,0.600000,0.000000,10,13,14,14,28,110,720,720,720,720,720,23,0,10,46.713921734961964,6.574300001375377,721.0938000353053,35.17391304347826
1786984209,2,,Aggregated,0.600000,0.000000,10,13,14,14,28,110,720,720,720,720,720,23,0,10,46.713921734961964,6.574300001375377,721.0938000353053,35.17391304347826
1786984210,2,,Aggregated,0.600000,0.000000,10,12,14,14,28,110,720,720,720,720,720,24,0,10,44.99419999532014,5.440599983558059,721.0938000353053,33.791666666666664
1786984211,2,,Aggregated,0.600000,0.000000,10,12,13,14,28,110,720,720,720,720,720,25,0,10,43.58285599388182,5.440599983558059,721.0938000353053,32.52
1786984212,2,,Aggregated,0.600000,0.000000,10,11,13,14,28,110,720,720,720,720,720,27,0,10,40.95839629061865,5.440599983558059,721.0938000353053,30.74074074074074
1786984214,2,,Aggregated,0.600000,0.000000,10,11,13,14,28,110,720,720,720,720,720,27,0,10,40.95839629061865,5.440599983558059,721.0938000353053,30.74074074074074
1786984215,2,,Aggregated,0.700000,0.000000,10,12,14,14,110,140,720,720,720,720,720,28,0,10,44.57111785138425,5.440599983558059,721.0938000353053,29.714285714285715
1786984216,2,,Aggregated,0.700000,0.000000,10,12,14,14,110,140,720,720,720,720,720,28,0,10,44.57111785138425,5.440599983558059,721.0938000353053,29.714285714285715
1786984217,2,,Aggregated,0.700000,0.000000,10,12,14,14,110,140,720,720,720,720,720,28,0,10,44.57111785138425,5.440599983558059,721.0938000353053,29.714285714285715
1786984218,2,,Aggregated,0.700000,0.000000,10,12,14,14,110,140,720,720,720,720,720,28,0,10,44.57111785138425,5.440599983558059,721.0938000353053,29.714285714285715
1786984219,2,,Aggregated,0.700000,0.000000,10,13,14,19,140,450,720,720,720,720,720,29,0,10,58.59536206518332,5.440599983558059,721.0938000353053,28.75862068965517
1786984220,2,,Aggregated,0.600000,0.000000,10,12,14,19,140,450,720,720,720,720,720,30,0,10,56.86068666400388,5.440599983558059,721.0938000353053,27.866666666666667
1786984221,2,,Aggregated,0.600000,0.000000,10,12,14,19,140,450,720,720,720,720,720,30,0,10,56.86068666400388,5.440599983558059,721.0938000353053,27.866666666666667
1786984222,2,,Aggregated,0.600000,0.000000,10,12,14,19,140,450,720,720,720,720,720,30,0,10,56.86068666400388,5.440599983558059,721.0938000353053,27.866666666666667
1786984223,2,,Aggregated,0.600000,0.000000,10,12,14,14,110,450,720,720,720,720,720,31,0,10,55.27596773895165,5.440599983558059,721.0938000353053,27.032258064516128
1786984224,2,,Aggregated,0.600000,0.000000,10,12,14,14,110,450,720,720,720,720,720,32,0,10,53.8199593720492,5.440599983558059,721.0938000353053,26.25
1786984225,2,,Aggregated,0.400000,0.000000,10,12,14,19,110,450,720,720,720,720,720,33,0,10,52.753012119369075,5.440599983558059,721.0938000353053,25.90909090909091
1786984226,2,,Aggregated,0.300000,0.000000,10,12,14,19,110,450,720,720,720,720,720,34,0,10,51.403835292576865,5.440599983558059,721.0938000353053,25.205882352941178
1786984227,2,,Aggregated,0.300000,0.000000,10,12,14,19,110,450,720,720,720,720,720,34,0,10,51.403835292576865,5.440599983558059,721.0938000353053,25.205882352941178
1786984228,2,,Aggregated,0.500000,0.000000,10,12,14,19,110,450,720,720,720,720,720,35,0,10,50.13667999800028,5.440599983558059,721.0938000353053,24.542857142857144
1786984229,2,,Aggregated,0.600000,0.000000,10,11,14,14,110,450,720,720,720,720,720,36,0,10,48.940291663812886,5.440599983558059,721.0938000353053,23.916666666666668
1786984230,2,,Aggregated,0.600000,0.000000,10,11,14,14,110,450,720,720,720,720,720,36,0,10,48.940291663812886,5.440599983558059,721.0938000353053,23.916666666666668
1786984232,4,,Aggregated,0.700000,0.000000,10,11,13,14,110,450,720,720,720,720,720,37,0,10,47.85532161838853,5.440599983558059,721.0938000353053,23.324324324324323
1786984233,15,,Aggregated,0.700000,0.000000,10,12,14,19,140,590,720,720,720,720,720,38,0,10,62.02706052327382,5.440599983558059,721.0938000353053,23.105263157894736
1786984234,18,,Aggregated,0.700000,0.000000,10,12,14,19,140,590,720,720,720,720,720,38,0,10,62.02706052327382,5.440599983558059,721.0938000353053,23.105263157894736
1786984235,18,,Aggregated,0.700000,0.000000,10,12,14,19,450,720,1300,1300,1300,1300,1300,39,0,10,93.84537692098186,5.440599983558059,1302.9414000338875,22.564102564102566
1786984236,16,,Aggregated,0.800000,0.000000,10,13,19,28,590,1300,2300,2300,2300,2300,2300,40,0,10,150.1364374984405,5.440599983558059,2345.4878000193276,24.175
1786984237,4,,Aggregated,0.600000,0.000000,10,13,19,110,720,1400,2300,2300,2300,2300,2300,43,0,10,208.46725581213832,5.440599983558059,2345.4878000193276,38.093023255813954
1786984238,4,,Aggregated,0.600000,0.000000,10,13,19,110,720,1400,2300,2300,2300,2300,2300,45,0,10,199.58537999773398,5.440599983558059,2345.4878000193276,36.48888888888889
1786984239,4,,Aggregated,0.600000,0.000000,10,13,19,110,720,1400,2300,2300,2300,2300,2300,45,0,10,199.58537999773398,5.440599983558059,2345.4878000193276,36.48888888888889
1786984240,4,,Aggregated,0.800000,0.000000,10,12,19,28,720,1400,2300,2300,2300,2300,2300,48,0,10,187.83882291487922,5.440599983558059,2345.4878000193276,34.604166666666664
1786984241,4,,Aggregated,0.800000,0.000000,10,12,14,28,720,1400,2300,2300,2300,2300,2300,49,0,10,184.15732448801816,5.440599983558059,2345.4878000193276,33.93877551020408
1786984242,4,,Aggregated,0.900000,0.000000,10,12,14,28,720,1400,2300,2300,2300,2300,2300,50,0,10,180.606021998683,5.440599983558059,2345.4878000193276,33.3
1786984243,4,,Aggregated,1.200000,0.000000,10,12,14,19,590,1400,1600,2300,2300,2300,2300,52,0,10,173.98489038392793,5.440599983558059,2345.4878000193276,32.09615384615385
1786984244,4,,Aggregated,1.200000,0.000000,10,12,14,19,590,1400,1600,2300,2300,2300,2300,53,0,10,170.82808867870074,5.440599983558059,2345.4878000193276,31.528301886792452
1786984245,4,,Aggregated,1.200000,0.000000,10,12,14,28,590,1400,1600,2300,2300,2300,2300,55,0,10,166.54559090754694,5.440599983558059,2345.4878000193276,30.454545454545453
1786984246,4,,Aggregated,1.400000,0.000000,10,12,14,19,590,1400,1600,2300,2300,2300,2300,56,0,10,163.6957428553225,5.440599983558059,2345.4878000193276,29.946428571428573
1786984248,4,,Aggregated,1.400000,0.000000,10,12,14,25,590,1400,1600,2300,2300,2300,2300,58,0,10,158.6539155155308,5.440599983558059,2345.4878000193276,29.20689655172414
1786984249,4,,Aggregated,1.400000,0.000000,10,12,14,25,590,1400,1600,2300,2300,2300,2300,58,0,10,158.6539155155308,5.440599983558059,2345.4878000193276,29.20689655172414
1786984250,4,,Aggregated,1.400000,0.000000,10,12,14,25,590,1400,1600,2300,2300,2300,2300,59,0,10,156.13419999826257,5.440599983558059,2345.4878000193276,28.74576271186441
1786984251,4,,Aggregated,1.500000,0.000000,10,12,14,25,590,1400,1600,2300,2300,2300,2300,60,0,10,153.67350999828582,5.440599983558059,2345.4878000193276,28.3
1786984252,4,,Aggregated,1.300000,0.000000,10,12,14,22,450,1300,1600,2300,2300,2300,2300,62,0,10,149.1676209655951,5.440599983558059,2345.4878000193276,27.451612903225808
1786984253,4,,Aggregated,1.400000,0.000000,10,12,14,22,450,1300,1600,2300,2300,2300,2300,63,0,10,146.91597301446433,5.440599983558059,2345.4878000193276,27.047619047619047
1786984254,4,,Aggregated,1.100000,0.000000,10,12,14,22,450,1300,1600,2300,2300,2300,2300,64,0,10,144.74727499873552,5.440599983558059,2345.4878000193276,26.65625
1786984255,4,,Aggregated,1.300000,0.000000,9,11,14,19,450,1300,1600,2300,2300,2300,2300,67,0,9,138.61595820757185,5.440599983558059,2345.4878000193276,25.55223880597015
1786984256,4,,Aggregated,1.300000,0.000000,9,11,14,19,450,1300,1600,2300,2300,2300,2300,68,0,9,136.69371323382674,5.440599983558059,2345.4878000193276,25.205882352941178
1786984257,4,,Aggregated,1.200000,0.000000,9,11,13,19,450,1300,1600,2300,2300,2300,2300,69,0,9,134.82221304202804,5.440599983558059,2345.4878000193276,24.869565217391305
1786984258,4,,Aggregated,1.300000,0.000000,9,11,13,19,450,1300,1600,2300,2300,2300,2300,70,0,9,133.00940285553224,5.440599983558059,2345.4878000193276,24.542857142857144
1786984259,4,,Aggregated,1.300000,0.000000,9,11,13,19,450,1300,1600,2300,2300,2300,2300,70,0,9,133.00940285553224,5.440599983558059,2345.4878000193276,24.542857142857144
1786984260,4,,Aggregated,1.300000,0.000000,9,11,13,19,450,1300,1600,2300,2300,2300,2300,70,0,9,133.00940285553224,5.440599983558059,2345.4878000193276,24.542857142857144
1786984261,4,,Aggregated,1.200000,0.000000,9,10,13,19,140,1300,1600,2300,2300,2300,2300,72,0,9,129.53966527614588,5.440599983558059,2345.4878000193276,24.09722222222222
1786984262,4,,Aggregated,1.200000,0.000000,9,10,13,19,140,1300,1600,2300,2300,2300,2300,73,0,9,127.90448081995399,5.440599983558059,2345.4878000193276,23.794520547945204
1786984263,4,,Aggregated,1.100000,0.000000,9,10,13,19,140,1300,1600,2300,2300,2300,2300,74,0,9,126.27390134966353,5.440599983558059,2345.4878000193276,23.5
1786984264,4,,Aggregated,1.100000,0.000000,9,10,13,19,140,1300,1600,2300,2300,2300,2300,75,0,9,124.69867333148916,5.440599983558059,2345.4878000193276,23.213333333333335
1786984265,4,,Aggregated,1.100000,0.000000,9,10,13,14,140,1300,1600,2300,2300,2300,2300,76,0,9,123.13897631400705,5.440599983558059,2345.4878000193276,22.93421052631579
1786984266,4,,Aggregated,1.100000,0.000000,9,10,12,14,140,1300,1600,2300,2300,2300,2300,77,0,9,121.64768311512572,5.440599983558059,2345.4878000193276,22.662337662337663
1786984267,4,,Aggregated,1.000000,0.000000,9,10,12,14,140,1300,1600,2300,2300,2300,2300,79,0,9,118.75305822652564,5.440599983558059,2345.4878000193276,22.139240506329113
1786984268,4,,Aggregated,1.000000,0.000000,9,10,12,14,140,1300,1600,2300,2300,2300,2300,79,0,9,118.75305822652564,5.440599983558059,2345.4878000193276,22.139240506329113
1786984269,4,,Aggregated,1.000000,0.000000,9,10,12,14,110,720,1600,2300,2300,2300,2300,82,0,9,114.69659877929655,5.440599983558059,2345.4878000193276,21.5609756097561
1786984270,4,,Aggregated,1.000000,0.000000,9,10,12,14,110,720,1600,2300,2300,2300,2300,83,0,9,113.43967108300001,5.440599983558059,2345.4878000193276,21.325301204819276
1786984271,4,,Aggregated,1.000000,0.000000,9,10,12,14,110,720,1600,2300,2300,2300,2300,84,0,9,112.18829047547409,5.440599983558059,2345.4878000193276,21.095238095238095
1786984272,4,,Aggregated,1.000000,0.000000,9,10,12,14,110,720,1600,2300,2300,2300,2300,85,0,9,110.94149058780579,5.440599983558059,2345.4878000193276,20.870588235294118
1786984273,4,,Aggregated,1.000000,0.000000,9,10,12,14,110,720,1600,2300,2300,2300,2300,85,0,9,110.94149058780579,5.440599983558059,2345.4878000193276,20.870588235294118
1786984274,4,,Aggregated,1.200000,0.000000,9,10,12,13,110,720,1600,2300,2300,2300,2300,87,0,9,108.62198965516926,5.440599983558059,2345.4878000193276,20.436781609195403
1786984275,4,,Aggregated,1.100000,0.000000,9,10,12,13,110,720,1600,2300,2300,2300,2300,89,0,9,106.33793146038177,5.440599983558059,2345.4878000193276,20.02247191011236
1786984276,4,,Aggregated,1.100000,0.000000,9,10,12,13,110,720,1600,2300,2300,2300,2300,90,0,9,105.22170999966976,5.440599983558059,2345.4878000193276,19.822222222222223
1786984277,4,,Aggregated,1.200000,0.000000,9,10,12,13,96,720,1600,2300,2300,2300,2300,92,0,9,103.12335326085778,5.440599983558059,2345.4878000193276,19.434782608695652
1786984278,4,,Aggregated,1.300000,0.000000,9,10,11,13,96,720,1600,2300,2300,2300,2300,95,0,9,100.11651158014215,5.440599983558059,2345.4878000193276,19.021052631578947
1786984279,4,,Aggregated,1.300000,0.000000,9,10,11,13,96,720,1600,2300,2300,2300,2300,97,0,9,98.23469690841709,5.440599983558059,2345.4878000193276,18.804123711340207
1786984280,4,,Aggregated,1.300000,0.000000,9,10,11,13,96,720,1600,2300,2300,2300,2300,97,0,9,98.23469690841709,5.440599983558059,2345.4878000193276,18.804123711340207
1786984281,4,,Aggregated,1.500000,0.000000,9,10,11,13,96,720,1600,2300,2300,2300,2300,98,0,9,97.52924081736377,5.440599983558059,2345.4878000193276,18.632653061224488
1786984282,4,,Aggregated,1.400000,0.000000,9,10,11,13,96,720,1600,2300,2300,2300,2300,100,0,9,95.76716100098565,5.440599983558059,2345.4878000193276,18.3
1786984283,4,,Aggregated,1.500000,0.000000,9,10,11,13,29,590,1400,1600,2300,2300,2300,101,0,9,94.92808613940004,5.440599983558059,2345.4878000193276,18.138613861386137
1786984284,4,,Aggregated,1.500000,0.000000,9,10,11,13,29,590,1400,1600,2300,2300,2300,101,0,9,94.92808613940004,5.440599983558059,2345.4878000193276,18.138613861386137
1786984285,4,,Aggregated,1.500000,0.000000,9,10,11,13,29,590,1400,1600,2300,2300,2300,103,0,9,93.27060873767144,5.440599983558059,2345.4878000193276,17.825242718446603
1786984286,4,,Aggregated,1.500000,0.000000,9,10,11,13,29,590,1400,1600,2300,2300,2300,103,0,9,93.27060873767144,5.440599983558059,2345.4878000193276,17.825242718446603
1786984287,4,,Aggregated,1.500000,0.000000,9,10,11,13,29,590,1400,1600,2300,2300,2300,104,0,9,92.44726923050341,5.440599983558059,2345.4878000193276,17.673076923076923
1786984288,4,,Aggregated,1.300000,0.000000,9,10,11,13,29,590,1400,1600,2300,2300,2300,105,0,9,91.68252095225311,5.440599983558059,2345.4878000193276,17.523809523809526
1786984289,4,,Aggregated,1.200000,0.000000,9,10,12,13,29,590,1400,1600,2300,2300,2300,107,0,9,90.30238224332717,5.440599983558059,2345.4878000193276,17.233644859813083
1786984291,40,,Aggregated,1.000000,0.000000,9,10,11,13,29,590,1400,1600,2300,2300,2300,109,0,9,88.81953761564705,5.440599983558059,2345.4878000193276,17.073394495412845
1786984293,50,,Aggregated,1.000000,0.000000,9,10,12,13,96,720,1400,1600,2300,2300,2300,110,0,9,98.08046454616652,5.440599983558059,2345.4878000193276,17.054545454545455
1786984294,56,,Aggregated,1.100000,0.000000,9,10,12,14,110,1100,1600,2300,3100,3100,3100,112,0,9,134.28039017942086,5.440599983558059,3129.967699991539,17.544642857142858
1786984295,52,,Aggregated,1.100000,0.000000,9,10,12,14,140,1200,1600,2300,3100,3100,3100,113,0,9,144.12642300975781,5.440599983558059,3129.967699991539,17.52212389380531
1786984297,49,,Aggregated,1.100000,0.000000,9,10,12,14,140,1200,1600,2300,3100,3100,3100,113,0,9,144.12642300975781,5.440599983558059,3129.967699991539,17.52212389380531
1786984298,34,,Aggregated,1.000000,0.000000,9,10,12,17,450,1300,2300,3100,4200,4200,4200,114,0,9,179.48145438710702,5.440599983558059,4174.600000027567,23.219298245614034
1786984299,8,,Aggregated,0.900000,0.000000,9,10,13,19,720,1600,3100,4200,5900,5900,5900,116,0,9,247.62694051856545,5.440599983558059,5892.964900005609,23.586206896551722
1786984300,8,,Aggregated,0.900000,0.000000,9,11,13,19,590,1400,3100,4200,5900,5900,5900,121,0,9,239.53876446466893,5.440599983558059,5892.964900005609,28.1900826446281
1786984301,8,,Aggregated,0.900000,0.000000,9,11,13,19,590,1400,3100,4200,5900,5900,5900,123,0,9,235.81296422923876,5.440599983558059,5892.964900005609,27.764227642276424
1786984302,8,,Aggregated,1.200000,0.000000,9,11,14,19,590,1400,3100,4200,5900,5900,5900,127,0,9,228.9005811037459,5.440599983558059,5892.964900005609,26.95275590551181
1786984303,8,,Aggregated,1.200000,0.000000,9,11,13,19,590,1400,3100,4200,5900,5900,5900,130,0,9,223.90510692359663,5.440599983558059,5892.964900005609,26.376923076923077
1786984304,8,,Aggregated,1.300000,0.000000,9,11,13,19,450,1400,3100,4200,5900,5900,5900,132,0,9,220.64538863681568,5.440599983558059,5892.964900005609,26.007575757575758
1786984305,8,,Aggregated,1.700000,0.000000,9,11,13,19,450,1400,3100,4200,5900,5900,5900,136,0,9,214.41745220662972,5.440599983558059,5892.964900005609,25.301470588235293
1786984306,8,,Aggregated,1.900000,0.000000,9,11,13,17,140,1300,3100,4200,5900,5900,5900,141,0,9,207.05746453963815,5.440599983558059,5892.964900005609,24.659574468085108
1786984307,8,,Aggregated,2.000000,0.000000,9,11,13,17,140,1300,3100,4200,5900,5900,5900,145,0,9,201.59198206865454,5.440599983558059,5892.964900005609,24.03448275862069
1786984308,8,,Aggregated,2.300000,0.000000,9,11,13,19,140,1300,3100,4200,5900,5900,5900,150,0,9,195.91629999961393,5.440599983558059,5892.964900005609,23.473333333333333
1786984309,8,,Aggregated,2.800000,0.000000,9,11,13,19,110,1300,2400,4200,5900,5900,5900,153,0,9,192.26364313671974,5.440599983558059,5892.964900005609,23.052287581699346
1786984310,8,,Aggregated,3.200000,0.000000,9,11,13,19,110,1300,2400,4200,5900,5900,5900,156,0,9,188.73473333279924,5.440599983558059,5892.964900005609,22.647435897435898
1786984311,8,,Aggregated,3.500000,0.000000,9,11,13,19,110,1300,2400,4200,5900,5900,5900,157,0,9,187.58296369386625,5.440599983558059,5892.964900005609,22.515923566878982
1786984312,8,,Aggregated,3.400000,0.000000,9,11,13,17,96,1200,2400,4200,5900,5900,5900,161,0,9,183.10486832243154,5.440599983558059,5892.964900005609,22.08695652173913
1786984313,8,,Aggregated,3.500000,0.000000,9,11,13,17,96,1200,2400,4200,5900,5900,5900,163,0,9,180.9750404901677,5.440599983558059,5892.964900005609,21.84049079754601
1786984314,8,,Aggregated,3.400000,0.000000,9,11,13,17,96,1200,2400,4200,5900,5900,5900,165,0,9,178.8673139388927,5.440599983558059,5892.964900005609,21.6
1786984315,8,,Aggregated,3.400000,0.000000,9,10,13,17,96,1200,2400,4200,5900,5900,5900,168,0,9,175.81595714208171,5.440599983558059,5892.964900005609,21.25
